Date,p_low_vol,p_med_vol,p_high_vol
2023-06-08,0.9999798399434795,2.0160057697190792e-05,9.032581091343554e-13
2023-06-09,0.9999811644184268,1.883558065898446e-05,6.390370623256771e-13
2023-06-12,0.9999764468020508,2.3553194743198113e-05,8.630904538548325e-13
2023-06-13,0.9999802768996762,1.9723099564212412e-05,6.910953833817604e-13
2023-06-14,0.9999828591912994,1.714081138654195e-05,8.165046207089949e-13
2023-06-15,0.9999686313940085,3.136860314387141e-05,1.978562828441931e-12
2023-06-16,0.9999737743511289,2.622564556539143e-05,2.033249999295116e-12
2023-06-20,0.9999637675298185,3.623247132186346e-05,2.305100695511996e-12
2023-06-21,0.9999618942877447,3.81057093822064e-05,1.3796214705966389e-12
2023-06-22,0.9999842210462494,1.5778953643844428e-05,2.4301702464842906e-12
2023-06-23,0.9999565416422364,4.345835590495148e-05,1.4713953513673418e-12
2023-06-26,0.9999729949421902,2.7005053372509066e-05,2.271565020787825e-12
2023-06-27,0.9999756705487179,2.4329446167282038e-05,1.833250112251191e-12
2023-06-28,0.999983788002731,1.6211996250042543e-05,6.332658127195089e-13
2023-06-29,0.9999848620118269,1.5137984506322065e-05,9.69462579224712e-13
2023-06-30,0.9999700108077684,2.998918740833882e-05,1.4415528420137867e-12
2023-07-03,0.9999849488199669,1.5051178647314995e-05,1.2375602316638898e-12
2023-07-05,0.9999810130886463,1.8986912099030327e-05,1.884955405957819e-12
2023-07-06,0.9999483542000307,5.1645797006722024e-05,2.4337087117452302e-12
2023-07-07,0.9999750713810898,2.4928617844850015e-05,2.389836035587988e-12
2023-07-10,0.9999829638323335,1.7036168859777175e-05,1.1813594934420532e-12
2023-07-11,0.9999807381500181,1.9261849630172353e-05,1.225130620065227e-12
2023-07-12,0.9999782081404871,2.1791858039858832e-05,1.7958480626200916e-12
2023-07-13,0.9999776882338489,2.231176376030311e-05,1.9104954513558146e-12
2023-07-14,0.9999787899572038,2.1210044494176473e-05,9.41218967564162e-13
2023-07-17,0.9999843623867818,1.563761271830687e-05,1.0788614983905038e-12
2023-07-18,0.9999816199503805,1.8380048639876808e-05,1.0092182137405716e-12
2023-07-19,0.9999841003036454,1.5899694998058688e-05,1.806482849531009e-12
2023-07-20,0.999964009395743,3.599060525522559e-05,1.380638400105023e-12
2023-07-21,0.9999822066511629,1.779334591449834e-05,1.464695854224147e-12
